,Frequenz0,dFrequenz0,Frequenz1,dFrequenz1,Frequenz2,dFrequenz2
0,11.93,0.05965,27.53,0.13765000000000002,9.947,0.049734999999999994
1,45.16,0.2258,34.95,0.17475000000000002,16.28,0.08140000000000001
2,51.94,0.2597,39.78,0.19890000000000002,26.62,0.1331
3,54.44,0.2722,45.63,0.22815000000000002,38.49,0.19245
4,55.37,0.27685,50.99,0.25495,47.55,0.23775
5,57.18,0.2859,54.01,0.27005,58.01,0.29005
6,63.53,0.31765,55.8,0.27899999999999997,68.32,0.34159999999999996
7,82.21,0.41104999999999997,57.43,0.28715,84.75,0.42375
8,90.31,0.45155,62.0,0.31,103.2,0.516
9,105.3,0.5265,67.68,0.33840000000000003,117.9,0.5895
10,121.1,0.6055,74.68,0.37340000000000007,141.9,0.7095
11,146.2,0.731,86.32,0.4316,170.0,0.85
12,40.77,0.20385000000000003,101.6,0.508,190.7,0.9535
